============= VM1 LOG START =============
Clock rate: 5 ticks per second
Peers: [0, 2]

Internal event | System time: 2025-03-04 17:31:27.655379 | Logical Clock Time: 81
Received: 81 | System time: 2025-03-04 17:31:27.855480 | Logical Clock Time: 82 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:28.055759 | Logical Clock Time: 83
Sent: 84 | System time: 2025-03-04 17:31:28.256513 | Logical Clock Time: 84
Sent: 85 | System time: 2025-03-04 17:31:28.456661 | Logical Clock Time: 85
Internal event | System time: 2025-03-04 17:31:28.656642 | Logical Clock Time: 86
Received: 84 | System time: 2025-03-04 17:31:28.856858 | Logical Clock Time: 87 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:29.057062 | Logical Clock Time: 88
Internal event | System time: 2025-03-04 17:31:29.257340 | Logical Clock Time: 89
Sent: 90 | System time: 2025-03-04 17:31:29.460267 | Logical Clock Time: 90
Sent: 91 | System time: 2025-03-04 17:31:29.658456 | Logical Clock Time: 91
Received: 92 | System time: 2025-03-04 17:31:29.858457 | Logical Clock Time: 93 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:30.058553 | Logical Clock Time: 94
Internal event | System time: 2025-03-04 17:31:30.258797 | Logical Clock Time: 95
Internal event | System time: 2025-03-04 17:31:30.458996 | Logical Clock Time: 96
Internal event | System time: 2025-03-04 17:31:30.659347 | Logical Clock Time: 97
Internal event | System time: 2025-03-04 17:31:30.859501 | Logical Clock Time: 98
Internal event | System time: 2025-03-04 17:31:31.059880 | Logical Clock Time: 99
Internal event | System time: 2025-03-04 17:31:31.260139 | Logical Clock Time: 100
Sent: 101 | System time: 2025-03-04 17:31:31.460780 | Logical Clock Time: 101
Internal event | System time: 2025-03-04 17:31:31.660898 | Logical Clock Time: 102
Internal event | System time: 2025-03-04 17:31:31.861167 | Logical Clock Time: 103
Internal event | System time: 2025-03-04 17:31:32.061471 | Logical Clock Time: 104
Internal event | System time: 2025-03-04 17:31:32.261771 | Logical Clock Time: 105
Sent: 106 | System time: 2025-03-04 17:31:32.462341 | Logical Clock Time: 106
Internal event | System time: 2025-03-04 17:31:32.662389 | Logical Clock Time: 107
Internal event | System time: 2025-03-04 17:31:32.862762 | Logical Clock Time: 108
Internal event | System time: 2025-03-04 17:31:33.063136 | Logical Clock Time: 109
Internal event | System time: 2025-03-04 17:31:33.263480 | Logical Clock Time: 110
