============= VM0 LOG START =============
Clock rate: 1 ticks per second
Peers: [1, 2]

Internal event | System time: 2025-03-04 17:31:11.824159 | Logical Clock Time: 1
Received: 4 | System time: 2025-03-04 17:31:12.824712 | Logical Clock Time: 5 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:13.825561 | Logical Clock Time: 6
Received: 11 | System time: 2025-03-04 17:31:14.825803 | Logical Clock Time: 12 | Message Queue Length: 0
Received: 17 | System time: 2025-03-04 17:31:15.826039 | Logical Clock Time: 18 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:16.826398 | Logical Clock Time: 19
Received: 28 | System time: 2025-03-04 17:31:17.826727 | Logical Clock Time: 29 | Message Queue Length: 1
Received: 29 | System time: 2025-03-04 17:31:18.827102 | Logical Clock Time: 30 | Message Queue Length: 1
Received: 32 | System time: 2025-03-04 17:31:19.827259 | Logical Clock Time: 33 | Message Queue Length: 0
Received: 42 | System time: 2025-03-04 17:31:20.827646 | Logical Clock Time: 43 | Message Queue Length: 2
Received: 44 | System time: 2025-03-04 17:31:21.828093 | Logical Clock Time: 45 | Message Queue Length: 2
Received: 45 | System time: 2025-03-04 17:31:22.828548 | Logical Clock Time: 46 | Message Queue Length: 2
Received: 49 | System time: 2025-03-04 17:31:23.828907 | Logical Clock Time: 50 | Message Queue Length: 2
Received: 53 | System time: 2025-03-04 17:31:24.829270 | Logical Clock Time: 54 | Message Queue Length: 3
Received: 59 | System time: 2025-03-04 17:31:25.829487 | Logical Clock Time: 60 | Message Queue Length: 3
Received: 61 | System time: 2025-03-04 17:31:26.829741 | Logical Clock Time: 62 | Message Queue Length: 4
Received: 62 | System time: 2025-03-04 17:31:27.830137 | Logical Clock Time: 63 | Message Queue Length: 4
Received: 70 | System time: 2025-03-04 17:31:28.830584 | Logical Clock Time: 71 | Message Queue Length: 5
Received: 72 | System time: 2025-03-04 17:31:29.830976 | Logical Clock Time: 73 | Message Queue Length: 7
Received: 73 | System time: 2025-03-04 17:31:30.831302 | Logical Clock Time: 74 | Message Queue Length: 7
Received: 78 | System time: 2025-03-04 17:31:31.831582 | Logical Clock Time: 79 | Message Queue Length: 7
Received: 84 | System time: 2025-03-04 17:31:32.831785 | Logical Clock Time: 85 | Message Queue Length: 6
Received: 85 | System time: 2025-03-04 17:31:33.832071 | Logical Clock Time: 86 | Message Queue Length: 6
Received: 84 | System time: 2025-03-04 17:31:34.832183 | Logical Clock Time: 87 | Message Queue Length: 5
Received: 90 | System time: 2025-03-04 17:31:35.832459 | Logical Clock Time: 91 | Message Queue Length: 5
Received: 91 | System time: 2025-03-04 17:31:36.832732 | Logical Clock Time: 92 | Message Queue Length: 4
Received: 93 | System time: 2025-03-04 17:31:37.832927 | Logical Clock Time: 94 | Message Queue Length: 5
Received: 101 | System time: 2025-03-04 17:31:38.833422 | Logical Clock Time: 102 | Message Queue Length: 5
Received: 109 | System time: 2025-03-04 17:31:39.834010 | Logical Clock Time: 110 | Message Queue Length: 6
Received: 121 | System time: 2025-03-04 17:31:40.834433 | Logical Clock Time: 122 | Message Queue Length: 7
Received: 130 | System time: 2025-03-04 17:31:41.834982 | Logical Clock Time: 131 | Message Queue Length: 7
Received: 133 | System time: 2025-03-04 17:31:42.835368 | Logical Clock Time: 134 | Message Queue Length: 8
Received: 138 | System time: 2025-03-04 17:31:43.835979 | Logical Clock Time: 139 | Message Queue Length: 9
Received: 139 | System time: 2025-03-04 17:31:44.836308 | Logical Clock Time: 140 | Message Queue Length: 10
Received: 141 | System time: 2025-03-04 17:31:45.836647 | Logical Clock Time: 142 | Message Queue Length: 12
Received: 144 | System time: 2025-03-04 17:31:46.837098 | Logical Clock Time: 145 | Message Queue Length: 12
