============= VM0 LOG START =============
Clock rate: 5 ticks per second
Peers: [1, 2]

Internal event | System time: 2025-03-04 17:28:18.250661 | Logical Clock Time: 80
Sent: 81 | System time: 2025-03-04 17:28:18.453544 | Logical Clock Time: 81
Sent: 82 | System time: 2025-03-04 17:28:18.652057 | Logical Clock Time: 82
Sent: 83 | System time: 2025-03-04 17:28:18.852451 | Logical Clock Time: 83
Internal event | System time: 2025-03-04 17:28:19.052725 | Logical Clock Time: 84
Sent: 85 | System time: 2025-03-04 17:28:19.254722 | Logical Clock Time: 85
Internal event | System time: 2025-03-04 17:28:19.453327 | Logical Clock Time: 86
Internal event | System time: 2025-03-04 17:28:19.653768 | Logical Clock Time: 87
Internal event | System time: 2025-03-04 17:28:19.854233 | Logical Clock Time: 88
Sent: 89 | System time: 2025-03-04 17:28:20.056975 | Logical Clock Time: 89
Internal event | System time: 2025-03-04 17:28:20.255307 | Logical Clock Time: 90
Internal event | System time: 2025-03-04 17:28:20.455401 | Logical Clock Time: 91
Internal event | System time: 2025-03-04 17:28:20.655591 | Logical Clock Time: 92
Sent: 93 | System time: 2025-03-04 17:28:20.856770 | Logical Clock Time: 93
Internal event | System time: 2025-03-04 17:28:21.056479 | Logical Clock Time: 94
Internal event | System time: 2025-03-04 17:28:21.256852 | Logical Clock Time: 95
Internal event | System time: 2025-03-04 17:28:21.457343 | Logical Clock Time: 96
Internal event | System time: 2025-03-04 17:28:21.657696 | Logical Clock Time: 97
Internal event | System time: 2025-03-04 17:28:21.858094 | Logical Clock Time: 98
Internal event | System time: 2025-03-04 17:28:22.058458 | Logical Clock Time: 99
Internal event | System time: 2025-03-04 17:28:22.258831 | Logical Clock Time: 100
Received: 97 | System time: 2025-03-04 17:28:22.459249 | Logical Clock Time: 101 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:28:22.659600 | Logical Clock Time: 102
Sent: 103 | System time: 2025-03-04 17:28:22.860323 | Logical Clock Time: 103
Internal event | System time: 2025-03-04 17:28:23.060160 | Logical Clock Time: 104
Internal event | System time: 2025-03-04 17:28:23.260535 | Logical Clock Time: 105
Internal event | System time: 2025-03-04 17:28:23.460877 | Logical Clock Time: 106
Internal event | System time: 2025-03-04 17:28:23.661244 | Logical Clock Time: 107
Sent: 108 | System time: 2025-03-04 17:28:23.863146 | Logical Clock Time: 108
Internal event | System time: 2025-03-04 17:28:24.061824 | Logical Clock Time: 109
Sent: 110 | System time: 2025-03-04 17:28:24.262658 | Logical Clock Time: 110
Internal event | System time: 2025-03-04 17:28:24.462282 | Logical Clock Time: 111
Internal event | System time: 2025-03-04 17:28:24.662530 | Logical Clock Time: 112
Internal event | System time: 2025-03-04 17:28:24.862855 | Logical Clock Time: 113
Internal event | System time: 2025-03-04 17:28:25.063192 | Logical Clock Time: 114
Internal event | System time: 2025-03-04 17:28:25.263388 | Logical Clock Time: 115
Internal event | System time: 2025-03-04 17:28:25.463864 | Logical Clock Time: 116
Internal event | System time: 2025-03-04 17:28:25.664224 | Logical Clock Time: 117
Internal event | System time: 2025-03-04 17:28:25.864497 | Logical Clock Time: 118
Internal event | System time: 2025-03-04 17:28:26.064798 | Logical Clock Time: 119
Internal event | System time: 2025-03-04 17:28:26.265071 | Logical Clock Time: 120
Internal event | System time: 2025-03-04 17:28:26.465348 | Logical Clock Time: 121
Sent: 122 | System time: 2025-03-04 17:28:26.665990 | Logical Clock Time: 122
Sent: 123 | System time: 2025-03-04 17:28:26.866401 | Logical Clock Time: 123
